ID,BoutNumber,Start_Date,Start_Time,End_Date,End_Time,Duration
31,19,11/5/2018,22:30:00,11/6/2018,07:42:00,552
31,20,11/6/2018,21:51:00,11/7/2018,07:51:00,600
31,21,11/7/2018,22:30:00,11/8/2018,07:25:00,535
31,22,11/8/2018,22:46:00,11/9/2018,07:18:00,512
31,23,11/9/2018,23:55:00,11/10/2018,06:10:00,375
31,24,11/11/2018,00:06:00,11/11/2018,05:17:00,311
31,25,11/11/2018,23:40:00,11/12/2018,06:26:00,406
31,26,11/13/2018,20:53:00,11/14/2018,06:22:00,569
31,27,11/14/2018,21:59:00,11/15/2018,05:43:00,464
31,28,11/15/2018,21:09:00,11/16/2018,06:37:00,568
31,29,11/16/2018,23:46:00,11/17/2018,06:15:00,389
31,30,11/18/2018,00:17:00,11/18/2018,09:09:00,532
31,31,11/18/2018,23:54:00,11/19/2018,08:07:00,493
31,32,11/20/2018,00:25:00,11/20/2018,06:50:00,385
31,33,11/20/2018,21:41:00,11/21/2018,07:08:00,567
31,34,11/21/2018,22:19:00,11/22/2018,06:04:00,465
31,35,11/22/2018,23:03:00,11/23/2018,07:11:00,488
31,36,11/23/2018,22:49:00,11/24/2018,07:58:00,549
